0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
RGM.26190;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.26190;;;not applicable;;CALCITE, GALENA;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.26323;OtherSpecimen;;Mineralogy;;Norway;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.26323;;;not applicable;;CALCITE;;;;NUMEDAL;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.411101;OtherSpecimen;;Mineralogy;;Turkey;;;;;;;;2;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.411101;;;not applicable;;SEPIOLITE;;;;Asia Minor;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.420212;OtherSpecimen;;Mineralogy;;India;;;;;;;;4;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.420212;;;not applicable;;OKENITE;;;;MAHAHASHTRA;;genus;;;;;genus;;;DATE OLD:            1994;;;;;ICZN;WGS84
RGM.1325520;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Eifel, District Vulkaneifel, Hillesheim, Zilsdorf, Arensberg;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1325520;;;not applicable;Kijlstra E.;Zeolite;;;;Rhineland Palatinate;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1039700;OtherSpecimen;;Mineralogy;;England;;;;;;;;;;;;;Durham County;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1039700;;;not applicable;;Fluorite 3.AB.25;;;;Weardale;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.38482;OtherSpecimen;;Mineralogy;;Indonesia;;;;;;;;5;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.38482;;;not applicable;;LIMONITE;;;;BELITUNG;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.24735;OtherSpecimen;;Mineralogy;;Russia;;;;;;;;2.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.24735;;;not applicable;;BERYL;;;;SIBERIA;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.2887;OtherSpecimen;;Mineralogy;;Japan;;;;;;;;2.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.2887;;;not applicable;;CHALCEDONY;;;;HONSHU;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.26458;OtherSpecimen;;Mineralogy;;Hungary;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.26458;;;not applicable;;SIDERITE;;;;(CZECHIA);;genus;;;;;genus;;;DATE OLD:            1821;;;;;ICZN;WGS84
RGM.309588;OtherSpecimen;;Mineralogy;;INDONESIA;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.309588;;;not applicable;REINWARDTC.G.C. 1816-1822R.I-83;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.309588/format/large;;;;;;;ICZN;WGS84
RGM.1034703;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;Heerlen;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1034703;;;not applicable;;Calciet;;;;Limburg;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1054667;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1054667;;;not applicable;;Porfier;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.419008;OtherSpecimen;;Mineralogy;;FINLAND;;;;;;;;1;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.419008;;;not applicable;;;;;;UUSIMAA;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1346;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1346;;;not applicable;;ARSENOPYRITE;;;;Saxony;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.319333.0;OtherSpecimen;;Mineralogy;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.319333.0;;;not applicable;SCHÜRMANNH.M.E. 1910-1913;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.420883;OtherSpecimen;;Mineralogy;;Unknown;;;;;;;;1;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.420883;;;not applicable;;CUPRITE;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1040794;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1040794;;;not applicable;;Jaspis;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1326329;OtherSpecimen;;Mineralogy;;Ireland;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1326329;;;not applicable;Beersma P.;Lazulite 8.BB.40;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.323320;OtherSpecimen;;Mineralogy;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.323320;;;not applicable;SCHÜRMANNH.M.E. 1927-1929.;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.323320/format/large|https://medialib.naturalis.nl/file/id/RGM.323320_1/format/large|https://medialib.naturalis.nl/file/id/RGM.323320_2/format/large|https://medialib.naturalis.nl/file/id/RGM.323320_4/format/large|https://medialib.naturalis.nl/file/id/RGM.323320_5/format/large|https://medialib.naturalis.nl/file/id/RGM.323320_3/format/large;;;;;;;ICZN;WGS84
RGM.87561;OtherSpecimen;;Mineralogy;;England;;;;;;;;1;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.87561;;;not applicable;;AXINITE;;;;ENGLAND;;genus;;;;;genus;;;DATE OLD: APRIL 1956;;;;;ICZN;WGS84
RGM.1047136;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1047136;;;not applicable;;Graniet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1043805;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1043805;;;not applicable;;Piemontiet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1048019;OtherSpecimen;;Mineralogy;;Norway;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1048019;;;not applicable;;Rhombenporfier;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1324259;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Eifel, District Mayen-Koblenz, Andernach, Nickenicher Sattelberg;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1324259;;;not applicable;Kijlstra E.;Hematite 4.CB.05;;;;Rhineland Palatinate;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.366015;OtherSpecimen;;Mineralogy;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.366015;;;not applicable;;;;;;GALICIA;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1324653;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Eifel, District Mayen-Koblenz, Mayen, Bellerberg;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1324653;;;not applicable;Marsman H.;Pyroxene;;;;Rhineland Palatinate;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.151457;OtherSpecimen;;Mineralogy;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.151457;;;not applicable;;BERYL, EMERALD 'IGMERALD';;;;Saxony-Anhalt;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.151822;OtherSpecimen;;Mineralogy;;Unknown;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.151822;;;not applicable;;Diamond 1.CB.10a;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
