0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
RGM.860010;OtherSpecimen;;Petrology;;Netherlands;;;;;;;;;;;;;Vaals;https://data.biodiversitydata.nl/naturalis/specimen/RGM.860010;;;not applicable;Miguel;;;;;Limburg;;;;;;;;;;aug 1854;;;;1854-08-01/1854-08-31;ICZN;WGS84
RGM.1018677;OtherSpecimen;;Petrology;;ITALY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1018677;;;not applicable;SCHMEDDING J.A.M.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.313598.0;OtherSpecimen;;Petrology;;EGYPT;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.313598.0;;;not applicable;SCHÜRMANNH.M.E. 29.4.1963.14;hypabyssal rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.206766.0;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.206766.0;;;not applicable;KUENENPH.H. 1929-1930;carbonates;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.282105;OtherSpecimen;;Petrology;;SWEDEN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.282105;;;not applicable;BAKER J.H.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.272793.182b;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.272793.182b;;;not applicable;BROUWER H.A.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.259413.0;OtherSpecimen;;Petrology;;SWITZERLAND;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.259413.0;;;not applicable;;carbonates;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1026269;OtherSpecimen;;Petrology;;ITALY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1026269;;;not applicable;ROEVER E.W.F. DE;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.38192.0;OtherSpecimen;;Petrology;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.38192.0;;;not applicable;;volcanic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1028545;OtherSpecimen;;Petrology;;;;;;;;;;;;;;;APELDOORN, GELDERLAND;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1028545;;;not applicable;;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
