gbifID;abstract;accessRights;accrualMethod;accrualPeriodicity;accrualPolicy;alternative;audience;available;bibliographicCitation;conformsTo;contributor;coverage;created;creator;date;dateAccepted;dateCopyrighted;dateSubmitted;description;educationLevel;extent;format;hasFormat;hasPart;hasVersion;identifier;instructionalMethod;isFormatOf;isPartOf;isReferencedBy;isReplacedBy;isRequiredBy;isVersionOf;issued;language;license;mediator;medium;modified;provenance;publisher;references;relation;replaces;requires;rights;rightsHolder;source;spatial;subject;tableOfContents;temporal;title;type;valid;institutionID;collectionID;datasetID;institutionCode;collectionCode;datasetName;ownerInstitutionCode;basisOfRecord;informationWithheld;dataGeneralizations;dynamicProperties;occurrenceID;catalogNumber;recordNumber;recordedBy;individualCount;organismQuantity;organismQuantityType;sex;lifeStage;reproductiveCondition;behavior;establishmentMeans;occurrenceStatus;preparations;disposition;associatedReferences;associatedSequences;associatedTaxa;otherCatalogNumbers;occurrenceRemarks;organismID;organismName;organismScope;associatedOccurrences;associatedOrganisms;previousIdentifications;organismRemarks;materialSampleID;eventID;parentEventID;fieldNumber;eventDate;eventTime;startDayOfYear;endDayOfYear;year;month;day;verbatimEventDate;habitat;samplingProtocol;samplingEffort;sampleSizeValue;sampleSizeUnit;fieldNotes;eventRemarks;locationID;higherGeographyID;higherGeography;continent;waterBody;islandGroup;island;countryCode;stateProvince;county;municipality;locality;verbatimLocality;verbatimElevation;verbatimDepth;minimumDistanceAboveSurfaceInMeters;maximumDistanceAboveSurfaceInMeters;locationAccordingTo;locationRemarks;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;pointRadiusSpatialFit;verbatimCoordinateSystem;verbatimSRS;footprintWKT;footprintSRS;footprintSpatialFit;georeferencedBy;georeferencedDate;georeferenceProtocol;georeferenceSources;georeferenceVerificationStatus;georeferenceRemarks;geologicalContextID;earliestEonOrLowestEonothem;latestEonOrHighestEonothem;earliestEraOrLowestErathem;latestEraOrHighestErathem;earliestPeriodOrLowestSystem;latestPeriodOrHighestSystem;earliestEpochOrLowestSeries;latestEpochOrHighestSeries;earliestAgeOrLowestStage;latestAgeOrHighestStage;lowestBiostratigraphicZone;highestBiostratigraphicZone;lithostratigraphicTerms;group;formation;member;bed;identificationID;identificationQualifier;typeStatus;identifiedBy;dateIdentified;identificationReferences;identificationVerificationStatus;identificationRemarks;taxonID;scientificNameID;acceptedNameUsageID;parentNameUsageID;originalNameUsageID;nameAccordingToID;namePublishedInID;taxonConceptID;scientificName;acceptedNameUsage;parentNameUsage;originalNameUsage;nameAccordingTo;namePublishedIn;namePublishedInYear;higherClassification;kingdom;phylum;class;order;family;genus;subgenus;specificEpithet;infraspecificEpithet;taxonRank;verbatimTaxonRank;vernacularName;nomenclaturalCode;taxonomicStatus;nomenclaturalStatus;taxonRemarks;datasetKey;publishingCountry;lastInterpreted;elevation;elevationAccuracy;depth;depthAccuracy;distanceAboveSurface;distanceAboveSurfaceAccuracy;issue;mediaType;hasCoordinate;hasGeospatialIssues;taxonKey;acceptedTaxonKey;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;subgenusKey;speciesKey;species;genericName;acceptedScientificName;verbatimScientificName;typifiedName;protocol;lastParsed;lastCrawled;repatriated;relativeOrganismQuantity;recordedByID;identifiedByID;level0Gid;level0Name;level1Gid;level1Name;level2Gid;level2Name;level3Gid;level3Name;iucnRedListCategory
3387256346;;;;;;;;;;;;;;;;;;;;;;;;;;G-212.1892;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;G-212.1892;G-212.1892;;;2.0;;;;;;;;PRESENT;;;;;;;"fossielen; dierlijk fossiel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DZ;;;;Les Tamarins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;incertae sedis;;;;;;;Calcispongia | Pharetrones | Lithoninae;incertae sedis;;;;;;;;;KINGDOM;;;;;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:19.641Z;;;;;;;"COUNTRY_INVALID;TAXON_MATCH_NONE;INSTITUTION_MATCH_NONE";;false;false;0;;0;;;;;;;;;;;Porosphaera globusa Phil.;;DWC_ARCHIVE;2022-01-18T15:47:19.641Z;2021-11-25T23:40:55.286Z;true;;;;;;;;;;;;
3387250153;;;;;;;;;;;;;;;;;;;;;;;;;;G-156.1891;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;G-156.1891;G-156.1891;;;2.0;;;;;;;;PRESENT;;;;;;;Terebratula perovalis Sow.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE;;;;WÃ¼rttemberg | Oberalfingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Terebratula perovalis (Sowerby, 1825);;;;;;;Brachiopoda | Articulata | Terebratulacea/Terebratuloidea | Terebratulidae;Animalia;Brachiopoda;Rhynchonellata;Terebratulida;Terebratulidae;Loboidothyris;;perovalis;;SPECIES;;;;ACCEPTED;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:13.319Z;;;;;;;"COUNTRY_INVALID;INSTITUTION_MATCH_NONE";;False;False;4868986;4868986.0;1;110.0;210.0;509.0;7526.0;4869316.0;;4868986.0;Terebratula perovalis;Terebratula;Terebratula perovalis (Sowerby, 1825);Terebratula perovalis Sow.;;DWC_ARCHIVE;2022-01-18T15:47:13.319Z;2021-11-25T23:40:55.286Z;True;;;;;;;;;;;;NE
3387255850;;;;;;;;;;;;;;;;;;;;;;;;;;G-147.1897;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;G-147.1897;G-147.1897;;;5.0;;;;;;;;PRESENT;;;;;;;"fossielen; dierlijk fossiel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE;;;;Braunschweig | Schippenstedt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Scyphia Oken, 1815;;;;;;;Calcispongia | Pharetrones | Dialytinae;Animalia;Porifera;Demospongiae;Dictyoceratida;Spongiidae;Scyphia;;;;GENUS;;;;ACCEPTED;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:19.161Z;;;;;;;"COUNTRY_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE";;false;false;3251449;3251449.0;1;105.0;199.0;1009.0;8120.0;3251449.0;;;;Scyphia;Scyphia Oken, 1815;Scyphia furcata Goldf.;;DWC_ARCHIVE;2022-01-18T15:47:19.161Z;2021-11-25T23:40:55.286Z;true;;;;;;;;;;;;
3387250824;;;;;;;;;;;;;;;;;;;;;;;;;;PA-120.1884;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;PA-120.1884;PA-120.1884;;;1.0;;;;;;;;PRESENT;;;;;;;"fossielen; dierlijk fossiel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE;;;;Eisenach;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Helix pomatia Linnaeus, 1758;;;;;;;Gastropoda | Pulmonata | Stylommatophora | Helicidae;Animalia;Mollusca;Gastropoda;Stylommatophora;Helicidae;Helix;;pomatia;;SPECIES;;;;ACCEPTED;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:13.956Z;;;;;;;"COUNTRY_INVALID;INSTITUTION_MATCH_NONE";;False;False;2294287;2294287.0;1;52.0;225.0;1456.0;6540.0;9816371.0;;2294287.0;Helix pomatia;Helix;Helix pomatia Linnaeus, 1758;Helix pomatia L.;;DWC_ARCHIVE;2022-01-18T15:47:13.956Z;2021-11-25T23:40:55.286Z;True;;;;;;;;;;;;LC
3387256522;;;;;;;;;;;;;;;;;;;;;;;;;;PA-85.1939;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;PA-85.1939;PA-85.1939;;;1.0;;;;;;;;PRESENT;;;;;;;Proarcestes ausseeanus (v. Hau);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ID;;;;Bihati, Timor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Proarcestes ausseeanus (Hauer, 1847);;;;;;;Cephalopoda | Terebranchiata | Ammonoidea | Arcestidae;Animalia;Mollusca;Cephalopoda;Ammonoidea;Arcestidae;Proarcestes;;ausseeanus;;SPECIES;;;;ACCEPTED;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:19.796Z;;;;;;;INSTITUTION_MATCH_NONE;;false;false;8498562;8498562.0;1;52.0;136.0;9559185.0;4622828.0;4622832.0;;8498562.0;Proarcestes ausseeanus;Proarcestes;Proarcestes ausseeanus (Hauer, 1847);Proarcestes ausseeanus (v. Hau);;DWC_ARCHIVE;2022-01-18T15:47:19.796Z;2021-11-25T23:40:55.286Z;true;;;;;;;;;;;;NE
3387256368;;;;;;;;;;;;;;;;;;;;;;;;;;PA-53.1941;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;PA-53.1941;PA-53.1941;;;1.0;;;;;;;;PRESENT;;;;;;;Didymites angusilobatus Hau. Var. timorensis Arthaber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ID;;;;Bihati 14, Timor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Didymites angustilobatus (Hauer, 1846);;;;;;;Cephalopoda | Terebranchiata | Ammonoidea | Arcestidae;Animalia;Mollusca;Cephalopoda;Ammonoidea;Didymitidae;Didymites;;angustilobatus;;SPECIES;;;;ACCEPTED;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:19.669Z;;;;;;;"TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE";;false;false;4623364;4623364.0;1;52.0;136.0;9559185.0;4623361.0;4623363.0;;4623364.0;Didymites angustilobatus;Didymites;Didymites angustilobatus (Hauer, 1846);Didymites angusilobatus Hau. Var. timorensis Arthaber;;DWC_ARCHIVE;2022-01-18T15:47:19.669Z;2021-11-25T23:40:55.286Z;true;;;;;;;;;;;;NE
3387253132;;;;;;;;;;;;;;;;;;;;;;;;;;G-1624.1881;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;G-1624.1881;G-1624.1881;;;1.0;;;;;;;;PRESENT;;;;;;;"fossielen; dierlijk fossiel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU;;;;Moskou | Mjatschkowa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;incertae sedis;;;;;;;Brachiopoda | Articulata | Strophomenacea | Orthidae;incertae sedis;;;;;;;;;KINGDOM;;;;;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:16.386Z;;;;;;;"TAXON_MATCH_NONE;INSTITUTION_MATCH_NONE";;False;False;0;;0;;;;;;;;;;;Enteletes lamarckii Fisch;;DWC_ARCHIVE;2022-01-18T15:47:16.386Z;2021-11-25T23:40:55.286Z;True;;;;;;;;;;;;
3387252946;;;;;;;;;;;;;;;;;;;;;;;;;;PA-33.1938;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;PA-33.1938;PA-33.1938;;;10.0;;;;;;;;PRESENT;;;;;;;Carcharias (Aprionodon) elongata Leriche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL;;;;Elsloo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Carcharias Rafinesque, 1810;;;;;;;Chondrichthyes/Elasmobranchii | Euselachii/Galeomorpha | Lamnoidea;Animalia;Chordata;Elasmobranchii;Lamniformes;Odontaspididae;Carcharias;;;;GENUS;;;;ACCEPTED;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:16.184Z;;;;;;;"TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE";;False;False;5962961;5962961.0;1;44.0;121.0;885.0;2202.0;5962961.0;;;;Carcharias;Carcharias Rafinesque, 1810;Carcharias (Aprionodon) elongata Leriche;;DWC_ARCHIVE;2022-01-18T15:47:16.184Z;2021-11-25T23:40:55.286Z;False;;;;;;;;;;;;NE
3387253181;;;;;;;;;;;;;;;;;;;;;;;;;;PA-240.1887;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;PA-240.1887;PA-240.1887;;;1.0;;;;;;;;PRESENT;;;;;;;"fossielen; dierlijk fossiel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE;;;;Nollenbach, Eifel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;incertae sedis;;;;;;;Anthozoa/Alcyonaria | Heliolitida;incertae sedis;;;;;;;;;KINGDOM;;;;;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:16.434Z;;;;;;;"COUNTRY_INVALID;TAXON_MATCH_NONE;INSTITUTION_MATCH_NONE";;False;False;0;;0;;;;;;;;;;;Heliolites porosa Goldf.;;DWC_ARCHIVE;2022-01-18T15:47:16.434Z;2021-11-25T23:40:55.286Z;True;;;;;;;;;;;;
3387256652;;;;;;;;;;;;;;;;;;;;;;;;;;PA-72.1896;;;;;;;;;;CC0_1_0;;;;;;;;;;;;;;;;;;;;;;;UMU;Fossielencollectie van Universiteitsmuseum Utrecht;;;FOSSIL_SPECIMEN;;;;PA-72.1896;PA-72.1896;;;1.0;;;;;;;;PRESENT;;;;;;;"fossielen; dierljik fossiel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE;;;;Wasseralfingen, Wurttemberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pecten disciformis (Schubler, 1833);;;;;;;Lamellibranchiata | Anysomyaria | Pectinidae;Animalia;Mollusca;Bivalvia;Pectinida;Pectinidae;Pecten;;disciformis;;SPECIES;;;;ACCEPTED;;;39b4ca7a-27f7-4489-8b49-c539144ccdc8;NL;2022-01-18T15:47:19.957Z;;;;;;;"COUNTRY_INVALID;INSTITUTION_MATCH_NONE";;false;false;9424105;9424105.0;1;52.0;137.0;9250425.0;3472.0;7976769.0;;9424105.0;Pecten disciformis;Pecten;Pecten disciformis (Schubler, 1833);Pecten disciformis Schubl;;DWC_ARCHIVE;2022-01-18T15:47:19.957Z;2021-11-25T23:40:55.286Z;true;;;;;;;;;;;;NE
